Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region
15,US-2016-118983,HP-14815,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Harold Pawlan,United States,Texas,Fort Worth,76106,22-11-2016,26-11-2016,Standard Class,Home Office,Office Supplies,Appliances,68.81,5,-123.858,0.8,Central
16,US-2016-118983,HP-14815,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Harold Pawlan,United States,Texas,Fort Worth,76106,22-11-2016,26-11-2016,Standard Class,Home Office,Office Supplies,Binders,2.544,3,-3.816,0.8,Central
17,CA-2015-105893,PK-19075,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Pete Kriz,United States,Wisconsin,Madison,53711,11-11-2015,18-11-2015,Standard Class,Consumer,Office Supplies,Storage,665.88,6,13.3176,None,Central
22,CA-2017-137330,KB-16585,OFF-AR-10000246,Newell 318,Ken Black,United States,Nebraska,Fremont,68025,09-12-2017,13-12-2017,Standard Class,Corporate,Office Supplies,Art,19.46,7,5.0596,None,Central
23,CA-2017-137330,KB-16585,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Ken Black,United States,Nebraska,Fremont,68025,09-12-2017,13-12-2017,Standard Class,Corporate,Office Supplies,Appliances,60.34,7,15.6884,None,Central
35,CA-2018-107727,MA-17560,OFF-PA-10000249,Easy-staple paper,Matt Abelman,United States,Texas,Houston,77095,19-10-2018,23-10-2018,Second Class,Home Office,Office Supplies,Paper,29.472,3,9.9468,0.2,Central
36,CA-2017-117590,GH-14485,TEC-PH-10004977,GE 30524EE4,Gene Hale,United States,Texas,Richardson,75080,08-12-2017,10-12-2017,First Class,Corporate,Technology,Phones,1097.544,7,123.4737,0.2,Central
37,CA-2017-117590,GH-14485,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Gene Hale,United States,Texas,Richardson,75080,08-12-2017,10-12-2017,First Class,Corporate,Furniture,Furnishings,190.92,5,-147.963,0.6,Central
38,CA-2016-117415,SN-20710,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Steve Nguyen,United States,Texas,Houston,77041,27-12-2016,31-12-2016,Standard Class,Home Office,Office Supplies,Envelopes,113.328,9,35.415,0.2,Central
39,CA-2016-117415,SN-20710,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Steve Nguyen,United States,Texas,Houston,77041,27-12-2016,31-12-2016,Standard Class,Home Office,Furniture,Bookcases,532.3992,3,-46.9764,0.32,Central
40,CA-2016-117415,SN-20710,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Steve Nguyen,United States,Texas,Houston,77041,27-12-2016,31-12-2016,Standard Class,Home Office,Furniture,Chairs,212.058,3,-15.147,0.3,Central
41,CA-2016-117415,SN-20710,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Steve Nguyen,United States,Texas,Houston,77041,27-12-2016,31-12-2016,Standard Class,Home Office,Technology,Phones,371.168,4,41.7564,0.2,Central
42,CA-2018-120999,LC-16930,TEC-PH-10004093,Panasonic Kx-TS550,Linda Cazamias,United States,Illinois,Naperville,60540,10-09-2018,15-09-2018,Standard Class,Corporate,Technology,Phones,147.168,4,16.5564,0.2,Central
