Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region
24,US-2018-156909,SF-20065,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Sandra Flanagan,United States,Pennsylvania,Philadelphia,19140,16-07-2018,18-07-2018,Second Class,Consumer,Furniture,Chairs,USD71.37,2,-1.0196,0.3,East
29,US-2016-150630,TB-21520,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Tracy Blumstein,United States,Pennsylvania,Philadelphia,19140,17-09-2016,21-09-2016,Standard Class,Consumer,Office Supplies,Binders,USD9.61,2,-7.0532,0.7,East
33,US-2016-150630,TB-21520,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Tracy Blumstein,United States,Pennsylvania,Philadelphia,19140,17-09-2016,21-09-2016,Standard Class,Consumer,Office Supplies,Binders,USD6.85,6,-5.715,0.7,East
199,US-2018-124303,FH-14365,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Fred Hopkins,United States,Pennsylvania,Philadelphia,19120,06-07-2018,13-07-2018,Standard Class,Corporate,Office Supplies,Binders,USD2.94,2,-2.2586,0.7,East
216,CA-2016-146262,VW-21775,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Victoria Wilson,United States,Ohio,Medina,44256,02-01-2016,09-01-2016,Standard Class,Corporate,Technology,Machines,USD1188,9,-950.4,0.7,East
222,CA-2016-169397,JB-15925,OFF-BI-10002852,Ibico Standard Transparent Covers,Joni Blumstein,United States,Ohio,Dublin,43017,24-12-2016,27-12-2016,First Class,Consumer,Office Supplies,Binders,USD24,4,-13.8432,0.7,East
224,CA-2016-169397,JB-15925,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Joni Blumstein,United States,Ohio,Dublin,43017,24-12-2016,27-12-2016,First Class,Consumer,Technology,Machines,USD252,4,-383.9904,0.7,East
331,US-2017-141544,PO-18850,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Patrick O'Brill,United States,Pennsylvania,Philadelphia,19143,30-08-2017,01-09-2017,First Class,Consumer,Office Supplies,Binders,USD28,6,-27.6936,0.7,East
333,US-2017-150147,JL-15850,OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,John Lucas,United States,Pennsylvania,Philadelphia,19134,25-04-2017,29-04-2017,Second Class,Consumer,Office Supplies,Binders,USD40,2,-13.816,0.7,East
334,US-2017-150147,JL-15850,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,John Lucas,United States,Pennsylvania,Philadelphia,19134,25-04-2017,29-04-2017,Second Class,Consumer,Office Supplies,Binders,USD8,3,-3.4272,0.7,East
342,CA-2015-122336,JD-15895,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Jonathan Doherty,United States,Pennsylvania,Philadelphia,19140,13-04-2015,17-04-2015,Second Class,Corporate,Office Supplies,Binders,USD288,10,-407.976,0.7,East
387,CA-2016-122756,DK-13225,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,Dean Katz,United States,Pennsylvania,Philadelphia,19140,03-12-2016,07-12-2016,Standard Class,Corporate,Technology,Machines,USD72,4,-337.638,0.7,East
608,US-2015-105767,AR-10510,OFF-BI-10000848,Angle-D Ring Binders,Andrew Roberts,United States,Pennsylvania,Philadelphia,19134,23-05-2015,27-05-2015,Standard Class,Consumer,Office Supplies,Binders,USD6,2,-2.6256,0.7,East
616,CA-2018-138611,CK-12595,OFF-BI-10002949,Prestige Round Ring Binders,Clytie Kelty,United States,Ohio,Grove City,43123,14-11-2018,17-11-2018,Second Class,Consumer,Office Supplies,Binders,USD45,2,-2.7968,0.7,East
656,CA-2017-137239,CR-12730,OFF-BI-10002827,Avery Durable Poly Binders,Craig Reiter,United States,Ohio,Columbus,43229,22-08-2017,28-08-2017,Standard Class,Consumer,Office Supplies,Binders,USD30,2,-2.6544,0.7,East
700,CA-2016-119291,JO-15550,OFF-BI-10001575,GBC Linen Binding Covers,Jesus Ocampo,United States,Pennsylvania,Chester,19013,14-05-2016,17-05-2016,First Class,Home Office,Office Supplies,Binders,USD360,2,-13.6312,0.7,East
701,CA-2016-119291,JO-15550,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,Jesus Ocampo,United States,Pennsylvania,Chester,19013,14-05-2016,17-05-2016,First Class,Home Office,Office Supplies,Binders,USD22,3,-3.4272,0.7,East
782,US-2016-157014,BM-11785,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,Bryan Mills,United States,Ohio,Columbus,43229,03-10-2016,06-10-2016,Second Class,Consumer,Office Supplies,Binders,USD238,5,-22.449,0.7,East
819,CA-2015-140858,CA-12775,OFF-BI-10003094,Self-Adhesive Ring Binder Labels,Cynthia Arntzen,United States,Pennsylvania,Philadelphia,19140,28-06-2015,02-07-2015,Standard Class,Consumer,Office Supplies,Binders,USD597,3,-2.4288,0.7,East
821,CA-2015-140858,CA-12775,OFF-BI-10004230,GBC Recycled Grain Textured Covers,Cynthia Arntzen,United States,Pennsylvania,Philadelphia,19140,28-06-2015,02-07-2015,Standard Class,Consumer,Office Supplies,Binders,USD26,3,-22.7964,0.7,East
869,CA-2015-136742,GP-14740,OFF-BI-10003719,Large Capacity Hanging Post Binders,Guy Phonely,United States,Pennsylvania,Lancaster,17602,06-04-2015,10-04-2015,Standard Class,Corporate,Office Supplies,Binders,USD252,6,-35.928,0.7,East
870,CA-2017-158099,PK-18910,OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Paul Knutson,United States,Pennsylvania,Philadelphia,19143,03-09-2017,05-09-2017,First Class,Home Office,Office Supplies,Binders,USD37,5,-760.98,0.7,East
879,US-2015-158638,AG-10765,OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Anthony Garverick,United States,Pennsylvania,Philadelphia,19120,17-09-2015,21-09-2015,Standard Class,Home Office,Office Supplies,Binders,USD345,4,-4.1244,0.7,East
900,US-2017-114622,JR-16210,OFF-BI-10004716,Wilson Jones Hanging Recycled Pressboard Data Binders,Justin Ritter,United States,Ohio,Springfield,45503,10-04-2017,12-04-2017,First Class,Corporate,Office Supplies,Binders,USD50,2,-6.5296,0.7,East
935,CA-2017-140081,CG-12040,OFF-BI-10004826,JM Magazine Binder,Catherine Glotzbach,United States,Pennsylvania,Philadelphia,19120,20-06-2017,24-06-2017,Standard Class,Home Office,Office Supplies,Binders,USD35,6,-21.7932,0.7,East
973,CA-2015-115791,DL-13315,OFF-BI-10001575,GBC Linen Binding Covers,Delfina Latchford,United States,Pennsylvania,Philadelphia,19134,16-01-2015,18-01-2015,Second Class,Consumer,Office Supplies,Binders,USD26.34,2,-13.6312,0.7,East
1035,CA-2017-109820,AG-10390,OFF-BI-10003460,Acco 3-Hole Punch,Allen Goldenen,United States,Ohio,Cincinnati,45231,20-11-2017,22-11-2017,First Class,Consumer,Office Supplies,Binders,USD90,2,-1.9272,0.7,East
1036,CA-2017-109820,AG-10390,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Allen Goldenen,United States,Ohio,Cincinnati,45231,20-11-2017,22-11-2017,First Class,Consumer,Office Supplies,Binders,USD29.55,3,-10.5798,0.7,East
1067,CA-2016-161263,TS-21160,OFF-BI-10004330,"GBC Velobind Prepunched Cover Sets, Regency Series",Theresa Swint,United States,Ohio,Toledo,43615,16-04-2016,21-04-2016,Standard Class,Corporate,Office Supplies,Binders,USD414,5,-46.225,0.7,East
1070,US-2016-150161,RB-19795,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Ross Baird,United States,Pennsylvania,Philadelphia,19143,25-07-2016,29-07-2016,Standard Class,Home Office,Office Supplies,Binders,USD18.22,4,-18.4624,0.7,East
1214,US-2018-118087,SP-20620,OFF-BI-10002432,Wilson Jones Standard D-Ring Binders,Stefania Perrino,United States,Pennsylvania,Philadelphia,19134,09-09-2018,13-09-2018,Standard Class,Corporate,Office Supplies,Binders,USD716,2,-2.3276,0.7,East
1215,US-2018-118087,SP-20620,OFF-BI-10000069,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Stefania Perrino,United States,Pennsylvania,Philadelphia,19134,09-09-2018,13-09-2018,Standard Class,Corporate,Office Supplies,Binders,USD33.10,1,-3.6024,0.7,East
1321,CA-2018-167703,MC-17575,OFF-BI-10002071,Fellowes Black Plastic Comb Bindings,Matt Collins,United States,Ohio,Cincinnati,45231,03-02-2018,08-02-2018,Standard Class,Consumer,Office Supplies,Binders,USD8,3,-4.1832,0.7,East
1449,US-2015-112564,TS-21160,OFF-BI-10004876,Wilson Jones Suede Grain Vinyl Binders,Theresa Swint,United States,Pennsylvania,Philadelphia,19134,23-04-2015,24-04-2015,First Class,Corporate,Office Supplies,Binders,USD74,3,-1.7514,0.7,East
1630,CA-2018-101049,AS-10240,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,Alan Shonely,United States,Ohio,Cleveland,44105,21-06-2018,25-06-2018,Second Class,Consumer,Office Supplies,Binders,USD17,6,-34.38,0.7,East
1649,CA-2016-120341,SF-20200,OFF-BI-10004224,Catalog Binders with Expanding Posts,Sarah Foster,United States,Pennsylvania,Philadelphia,19143,26-09-2016,29-09-2016,Second Class,Consumer,Office Supplies,Binders,USD36,6,-100.92,0.7,East
1663,CA-2018-144526,QJ-19255,OFF-BI-10002353,GBC VeloBind Cover Sets,Quincy Jones,United States,Pennsylvania,Philadelphia,19143,30-04-2018,06-05-2018,Standard Class,Corporate,Office Supplies,Binders,USD138,3,-9.264,0.7,East
1682,CA-2015-122882,SB-20290,TEC-MA-10004679,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Sean Braxton,United States,Pennsylvania,Philadelphia,19134,07-09-2015,13-09-2015,Standard Class,Corporate,Technology,Machines,USD464,4,-559.356,0.7,East
1686,CA-2018-149489,DK-12835,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Damala Kotsonis,United States,Pennsylvania,Philadelphia,19143,24-04-2018,27-04-2018,First Class,Corporate,Office Supplies,Binders,USD120,2,-0.99,0.7,East
1687,CA-2018-149489,DK-12835,OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,Damala Kotsonis,United States,Pennsylvania,Philadelphia,19143,24-04-2018,27-04-2018,First Class,Corporate,Office Supplies,Binders,USD238,2,-5.7638,0.7,East
1706,CA-2016-100545,IM-15070,OFF-BI-10003638,GBC Durable Plastic Covers,Irene Maddox,United States,Pennsylvania,Philadelphia,19120,22-11-2016,26-11-2016,Standard Class,Consumer,Office Supplies,Binders,USD357,2,-9.288,0.7,East
