Customer Name-1,Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region,Manufacturer,Return Reason,ï»¿Row ID
S Kelly,215,CA-2016-146262,VW-21775,TEC-PH-10002844,Speck Products Candyshell Flip Case,Victoria Wilson,United States,Ohio,Medina,44256,02-01-2016,09-01-2016,Standard Class,Corporate,Technology,Phones,USD62.98,3,-14.6958,0.40000000000000002,East,Other,Customer thought item had been removed from cart,
R Duchesne,1830,CA-2015-103373,BS-11755,TEC-PH-10002885,Apple iPhone 5,Bruce Stewart,United States,Ohio,Cleveland,44105,18-05-2015,24-05-2015,Standard Class,Consumer,Technology,Phones,USD779.79,2,-168.9558,0.40000000000000002,East,Apple,The customer didn't realize that the phone was in the cart when he ordered.,
R Duchesne,5421,US-2017-151827,CS-11950,TEC-PH-10002789,LG Exalt,Carlos Soltero,United States,Pennsylvania,Philadelphia,19134,31-03-2017,02-04-2017,Second Class,Consumer,Technology,Phones,USD280.78,3,-60.8361,0.40000000000000002,East,Other,Customer received older model,
C Arnold,5576,CA-2015-151162,EA-14035,TEC-PH-10001809,Panasonic KX T7736-B Digital phone,Erin Ashbrook,United States,Ohio,Columbus,43229,05-12-2015,09-12-2015,Standard Class,Corporate,Technology,Phones,USD179.94,2,-44.985,0.40000000000000002,East,Panasonic,cust. thought that this was already removed from cart.,
S Kelly,213,CA-2016-146262,VW-21775,OFF-LA-10004544,Avery 505,Victoria Wilson,United States,Ohio,Medina,44256,02-01-2016,09-01-2016,Standard Class,Corporate,Office Supplies,Labels,USD23.68,2,8.88,0.20000000000000001,East,Avery,Customer thought item had been removed from cart,
L Jenkins,1219,US-2018-118087,SP-20620,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Stefania Perrino,United States,Pennsylvania,Philadelphia,19134,09-09-2018,13-09-2018,Standard Class,Corporate,Technology,Accessories,USD258.69,3,64.674,0.20000000000000001,East,Plantronics,Customer meant to order coreless phone,
K Lawrence,2148,US-2017-152051,TS-21160,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Theresa Swint,United States,Pennsylvania,York,17403,25-06-2017,29-06-2017,Standard Class,Corporate,Office Supplies,Storage,USD254.35,6,-50.8704,0.20000000000000001,East,Gould Plastics,Customer ordered too many,
E Williams,2844,CA-2018-112865,BH-11710,TEC-AC-10000387,KeyTronic KT800P2 - Keyboard - Black,Brosina Hoffman,United States,Pennsylvania,Philadelphia,19140,18-05-2018,22-05-2018,Standard Class,Consumer,Technology,Accessories,USD36.04,3,-0.9012,0.20000000000000001,East,KeyTronic,Customer did not receive this iten,
M. Gomez,2672,CA-2015-126403,RR-19525,FUR-CH-10003761,Global Italian Leather Office Chair,Rick Reed,United States,Massachusetts,Lowell,1852,09-09-2015,12-09-2015,Second Class,Corporate,Furniture,Chairs,USD785.88,6,212.1876,0,East,Global,Customer didn't realize that the item was in the order,
S. Kelly,2846,CA-2018-138163,XP-21865,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Xylona Preis,United States,Massachusetts,Everett,2149,17-11-2018,20-11-2018,First Class,Consumer,Office Supplies,Art,USD50.93,3,14.2632,0,East,Stanley,didn't work,
C/ Arnold,3344,CA-2017-145982,TB-21055,TEC-PH-10000011,PureGear Roll-On Screen Protector,Ted Butterfield,United States,Massachusetts,Quincy,2169,27-08-2017,01-09-2017,Second Class,Consumer,Technology,Phones,USD59.96,3,28.7856,0,East,Other,screen wouldn’t adhere correctly,
L Smith,3736,CA-2018-168193,RM-19750,FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Roland Murray,United States,New York,New York City,10011,06-03-2018,11-03-2018,Second Class,Consumer,Furniture,Furnishings,USD71.96,3,16.5531,0,East,Westinghouse,Customber bought different lamp instead,
S Kelly,3824,CA-2016-140984,CC-12685,OFF-ST-10000585,Economy Rollaway Files,Craig Carroll,United States,New York,New York City,10011,14-09-2016,18-09-2016,Standard Class,Consumer,Office Supplies,Storage,USD991.20,6,257.712,0,East,Other,Customer meant to order full filing cabinet,
,4392,CA-2018-111556,CD-11920,OFF-AR-10004602,Boston KS Multi-Size Manual Pencil Sharpener,Carlos Daly,United States,New York,New York City,10035,20-11-2018,22-11-2018,First Class,Consumer,Office Supplies,Art,USD68.96,3,19.3116,0,East,Boston,customer wanted automatic pencil sharpener,
F Azad,4527,US-2018-105046,BE-11335,OFF-PA-10004353,Southworth 25% Cotton Premium Laser Paper and Envelopes,Bill Eplett,United States,New York,Rome,13440,17-07-2018,23-07-2018,Standard Class,Home Office,Office Supplies,Paper,USD99.90,5,47.952,0,East,Southworth,Customer ordered too many packages,
