Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region,ï»¿Row ID
,CA-2015-158274,RM-19675,TEC-PH-10003273,AT&T TR1909W,Robert Marley,United States,Louisiana,Monroe,71203,19-11-2015,24-11-2015,Second Class,Home Office,Technology,Phones,503.96,4,131.0296,0,South,183
,CA-2015-158274,RM-19675,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Robert Marley,United States,Louisiana,Monroe,71203,19-11-2015,24-11-2015,Second Class,Home Office,Technology,Phones,149.95,5,41.986,0,South,184
,CA-2015-158274,RM-19675,TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Robert Marley,United States,Louisiana,Monroe,71203,19-11-2015,24-11-2015,Second Class,Home Office,Technology,Accessories,29,2,7.25,0,South,185
,US-2015-156216,EA-14035,OFF-BI-10001679,GBC Instant Index System for Binding Systems,Erin Ashbrook,United States,North Carolina,Charlotte,28205,13-09-2015,17-09-2015,Standard Class,Corporate,Office Supplies,Binders,18.648,7,-12.432,0.7,South,231
,CA-2015-167850,AG-10525,TEC-PH-10002398,AT&T 1070 Corded Phone,Andy Gerbode,United States,Florida,Saint Petersburg,33710,09-08-2015,16-08-2015,Standard Class,Corporate,Technology,Phones,178.384,2,22.298,0.2,South,315
,CA-2015-167850,AG-10525,OFF-PA-10001937,Xerox 21,Andy Gerbode,United States,Florida,Saint Petersburg,33710,09-08-2015,16-08-2015,Standard Class,Corporate,Office Supplies,Paper,15.552,3,5.4432,0.2,South,316
,CA-2015-113166,LF-17185,OFF-PA-10001947,Xerox 1974,Luke Foster,United States,Florida,Miami,33180,24-12-2015,26-12-2015,First Class,Consumer,Office Supplies,Paper,9.568,2,3.4684,0.2,South,403
,CA-2015-155208,SP-20650,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Stephanie Phelps,United States,North Carolina,Wilmington,28403,16-04-2015,20-04-2015,Standard Class,Corporate,Office Supplies,Art,39.072,6,9.768,0.2,South,404
,US-2015-150574,MK-18160,OFF-BI-10000773,Insertable Tab Post Binder Dividers,Mike Kennedy,United States,Florida,Jacksonville,32216,19-12-2015,25-12-2015,Standard Class,Consumer,Office Supplies,Binders,4.812,2,-3.6892,0.7,South,435
,US-2015-150574,MK-18160,TEC-AC-10002600,Belkin QODE FastFit Bluetooth Keyboard,Mike Kennedy,United States,Florida,Jacksonville,32216,19-12-2015,25-12-2015,Standard Class,Consumer,Technology,Accessories,247.8,5,-18.585,0.2,South,436
,CA-2015-155852,AJ-10945,OFF-AR-10003560,Zebra Zazzle Fluorescent Highlighters,Ashley Jarboe,United States,North Carolina,Wilmington,28403,03-03-2015,07-03-2015,Second Class,Consumer,Office Supplies,Art,19.456,4,3.4048,0.2,South,556
,CA-2015-145576,CA-12775,OFF-AP-10003914,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",Cynthia Arntzen,United States,Florida,Tampa,33614,14-09-2015,18-09-2015,Second Class,Consumer,Office Supplies,Appliances,13,5,1.3,0.2,South,562
,CA-2015-145576,CA-12775,FUR-FU-10004020,Advantus Panel Wall Acrylic Frame,Cynthia Arntzen,United States,Florida,Tampa,33614,14-09-2015,18-09-2015,Second Class,Consumer,Furniture,Furnishings,13.128,3,3.7743,0.2,South,563
,CA-2015-149958,AS-10240,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Alan Shonely,United States,Florida,Tampa,33614,15-03-2015,19-03-2015,Standard Class,Consumer,Office Supplies,Storage,142.776,1,17.847,0.2,South,603
,CA-2015-149958,AS-10240,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Alan Shonely,United States,Florida,Tampa,33614,15-03-2015,19-03-2015,Standard Class,Consumer,Furniture,Furnishings,45.696,3,5.1408,0.2,South,604
,CA-2015-149958,AS-10240,OFF-BI-10000773,Insertable Tab Post Binder Dividers,Alan Shonely,United States,Florida,Tampa,33614,15-03-2015,19-03-2015,Standard Class,Consumer,Office Supplies,Binders,7.218,3,-5.5338,0.7,South,605
,CA-2015-149958,AS-10240,OFF-BI-10001543,GBC VeloBinder Manual Binding System,Alan Shonely,United States,Florida,Tampa,33614,15-03-2015,19-03-2015,Standard Class,Consumer,Office Supplies,Binders,43.188,4,-31.6712,0.7,South,606
,CA-2015-149958,AS-10240,OFF-PA-10002120,Xerox 1889,Alan Shonely,United States,Florida,Tampa,33614,15-03-2015,19-03-2015,Standard Class,Consumer,Office Supplies,Paper,131.904,3,47.8152,0.2,South,607
,CA-2015-157784,MC-17845,TEC-AC-10003911,NETGEAR AC1750 Dual Band GigabitÂ Smart WiFi Router,Michael Chen,United States,Mississippi,Jackson,39212,05-07-2015,08-07-2015,First Class,Consumer,Technology,Accessories,479.97,3,163.1898,0,South,686
,CA-2015-157784,MC-17845,OFF-LA-10001934,Avery 516,Michael Chen,United States,Mississippi,Jackson,39212,05-07-2015,08-07-2015,First Class,Consumer,Office Supplies,Labels,14.62,2,6.8714,0,South,687
,CA-2015-157784,MC-17845,OFF-PA-10000304,Xerox 1995,Michael Chen,United States,Mississippi,Jackson,39212,05-07-2015,08-07-2015,First Class,Consumer,Office Supplies,Paper,19.44,3,9.3312,0,South,688
,US-2015-117135,NP-18325,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Naresj Patel,United States,Virginia,Waynesboro,22980,21-06-2015,23-06-2015,Second Class,Consumer,Furniture,Furnishings,104.01,1,14.5614,0,South,690
,US-2015-117135,NP-18325,TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Naresj Patel,United States,Virginia,Waynesboro,22980,21-06-2015,23-06-2015,Second Class,Consumer,Technology,Phones,284.82,1,74.0532,0,South,691
,US-2015-117135,NP-18325,OFF-ST-10002444,Recycled Eldon Regeneration Jumbo File,Naresj Patel,United States,Virginia,Waynesboro,22980,21-06-2015,23-06-2015,Second Class,Consumer,Office Supplies,Storage,36.84,3,10.3152,0,South,692
,CA-2015-138527,BN-11470,OFF-PA-10001800,Xerox 220,Brad Norvell,United States,North Carolina,Cary,27511,12-09-2015,17-09-2015,Standard Class,Corporate,Office Supplies,Paper,10.368,2,3.6288,0.2,South,705
,CA-2015-138527,BN-11470,OFF-AP-10001469,Fellowes 8 Outlet Superior Workstation Surge Protector,Brad Norvell,United States,North Carolina,Cary,27511,12-09-2015,17-09-2015,Standard Class,Corporate,Office Supplies,Appliances,166.84,5,18.7695,0.2,South,706
,CA-2015-138527,BN-11470,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive,Brad Norvell,United States,North Carolina,Cary,27511,12-09-2015,17-09-2015,Standard Class,Corporate,Technology,Accessories,15.216,1,2.2824,0.2,South,707
,CA-2015-162775,CS-12250,OFF-EN-10001990,Staple envelope,Chris Selesnick,United States,Louisiana,Bossier City,71111,13-01-2015,15-01-2015,Second Class,Corporate,Office Supplies,Envelopes,11.36,2,5.3392,0,South,764
,CA-2015-162775,CS-12250,OFF-EN-10001532,Brown Kraft Recycled Envelopes,Chris Selesnick,United States,Louisiana,Bossier City,71111,13-01-2015,15-01-2015,Second Class,Corporate,Office Supplies,Envelopes,50.94,3,25.47,0,South,765
,CA-2015-162775,CS-12250,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Chris Selesnick,United States,Louisiana,Bossier City,71111,13-01-2015,15-01-2015,Second Class,Corporate,Technology,Accessories,646.74,6,258.696,0,South,766
,CA-2015-162775,CS-12250,OFF-BI-10004187,3-ring staple pack,Chris Selesnick,United States,Louisiana,Bossier City,71111,13-01-2015,15-01-2015,Second Class,Corporate,Office Supplies,Binders,5.64,3,2.7072,0,South,767
,CA-2015-162775,CS-12250,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Chris Selesnick,United States,Louisiana,Bossier City,71111,13-01-2015,15-01-2015,Second Class,Corporate,Office Supplies,Storage,572.58,6,34.3548,0,South,768
,CA-2015-106810,AJ-10795,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,Anthony Johnson,United States,Florida,Saint Petersburg,33710,14-05-2015,20-05-2015,Standard Class,Corporate,Furniture,Furnishings,310.88,2,23.316,0.2,South,769
,CA-2015-149020,AJ-10780,OFF-LA-10004272,Avery 482,Anthony Jacobs,United States,Virginia,Springfield,22153,10-01-2015,15-01-2015,Standard Class,Corporate,Office Supplies,Labels,2.89,1,1.3583,0,South,866
,CA-2015-149020,AJ-10780,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Anthony Jacobs,United States,Virginia,Springfield,22153,10-01-2015,15-01-2015,Standard Class,Corporate,Furniture,Furnishings,51.94,1,21.2954,0,South,867
,CA-2015-138296,RC-19825,OFF-ST-10002444,Recycled Eldon Regeneration Jumbo File,Roy Collins,United States,Virginia,Alexandria,22304,05-12-2015,12-12-2015,Standard Class,Consumer,Office Supplies,Storage,24.56,2,6.8768,0,South,921
,CA-2015-127488,MS-17365,OFF-LA-10001613,Avery File Folder Labels,Maribeth Schnelling,United States,Florida,Boca Raton,33433,22-09-2015,24-09-2015,Second Class,Consumer,Office Supplies,Labels,4.608,2,1.6704,0.2,South,964
