Row ID,Order ID,Customer ID,Product ID,Product Name,Customer Name,Country,State,City,Postal Code,Order Date,Ship Date,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Profit,Discount,Region
3836,CA-2015-100363,JM-15655,OFF-FA-10000611,Binder Clips by OIC,Jim Mitchum,United States,AZ,Glendale,85301,08-04-2015 12:00:00 am,15-04-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Fasteners,2.368,2,0.8288,0.2,West
3837,CA-2015-100363,JM-15655,OFF-PA-10004733,Things To Do Today Spiral Book,Jim Mitchum,United States,AZ,Glendale,85301,08-04-2015 12:00:00 am,15-04-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Paper,19.008,3,6.8904,0.2,West
3836,CA-2015-100363,JM-15655,OFF-FA-10000611,Binder Clips by OIC,Jim Mitchum,United States,AZ,Glendale,85301,08-04-2015 12:00:00 am,15-04-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Fasteners,2.368,2,0.8288,0.2,West
3837,CA-2015-100363,JM-15655,OFF-PA-10004733,Things To Do Today Spiral Book,Jim Mitchum,United States,AZ,Glendale,85301,08-04-2015 12:00:00 am,15-04-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Paper,19.008,3,6.8904,0.2,West
4565,CA-2015-101175,DM-12955,OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,Dario Medina,United States,AZ,Mesa,85204,09-12-2015 12:00:00 am,14-12-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Storage,100.704,6,-1.2588,0.2,West
68,CA-2015-106376,BS-11590,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Brendan Sweed,United States,AZ,Gilbert,85234,05-12-2015 12:00:00 am,10-12-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Art,1113.024,8,111.3024,0.2,West
69,CA-2015-106376,BS-11590,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Brendan Sweed,United States,AZ,Gilbert,85234,05-12-2015 12:00:00 am,10-12-2015 12:00:00 am,Standard Class,Corporate,Technology,Phones,167.968,4,62.988,0.2,West
68,CA-2015-106376,BS-11590,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Brendan Sweed,United States,AZ,Gilbert,85234,05-12-2015 12:00:00 am,10-12-2015 12:00:00 am,Standard Class,Corporate,Office Supplies,Art,1113.024,8,111.3024,0.2,West
69,CA-2015-106376,BS-11590,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Brendan Sweed,United States,AZ,Gilbert,85234,05-12-2015 12:00:00 am,10-12-2015 12:00:00 am,Standard Class,Corporate,Technology,Phones,167.968,4,62.988,0.2,West
3223,CA-2015-108189,ES-14080,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Paper,9.408,2,3.4104,0.2,West
3224,CA-2015-108189,ES-14080,OFF-FA-10000735,Staples,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Fasteners,4.672,2,1.46,0.2,West
3225,CA-2015-108189,ES-14080,TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Technology,Phones,318.4,2,107.46,0.2,West
3226,CA-2015-108189,ES-14080,OFF-EN-10004846,Letter or Legal Size Expandable Poly String Tie Envelopes,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Envelopes,12.768,6,4.6284,0.2,West
3227,CA-2015-108189,ES-14080,OFF-SU-10003567,Stiletto Hand Letter Openers,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Supplies,15.36,2,-3.264,0.2,West
3228,CA-2015-108189,ES-14080,TEC-PH-10001557,Pyle PMP37LED,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Technology,Phones,230.376,3,20.1579,0.2,West
3229,CA-2015-108189,ES-14080,TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Technology,Accessories,7.16,1,-0.089500000,0.2,West
3223,CA-2015-108189,ES-14080,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Paper,9.408,2,3.4104,0.2,West
3224,CA-2015-108189,ES-14080,OFF-FA-10000735,Staples,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Fasteners,4.672,2,1.46,0.2,West
3225,CA-2015-108189,ES-14080,TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Technology,Phones,318.4,2,107.46,0.2,West
3226,CA-2015-108189,ES-14080,OFF-EN-10004846,Letter or Legal Size Expandable Poly String Tie Envelopes,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Envelopes,12.768,6,4.6284,0.2,West
3227,CA-2015-108189,ES-14080,OFF-SU-10003567,Stiletto Hand Letter Openers,Erin Smith,United States,AZ,Tempe,85281,02-10-2015 12:00:00 am,05-10-2015 12:00:00 am,First Class,Corporate,Office Supplies,Supplies,15.36,2,-3.264,0.2,West
